Master_SKU,Original_Category,Amazon Cat,Remark,Cost,MRP,Uniware,FBA,Sjit,FBF,Launch Date,LOC,Cost into %,Cost after %,Return Charge,GST on Return,Final TP,Required Selling Price,Selected Price Range,Selected Fixed Fee Range,Commission %,Commission Amount,Fixed Closing Fee,FBA Pick Pack,Technology Fee,Full Shipping Fee,WHF % On Shipping,Shipping Fee Charged,Total Charges,Final Value After Charges,Sett Acc Panel,Net Profit On SP,Net Profit % On SP,Net Profit % On TP,Old Daily SP,Old Deal SP
JOPLJPR328-XL,"Dress 42 """,Apparel - Dress,Closed,270.0,2663.0,0.0,0.0,0.0,0.0,24-Jan-25,Jaipur,23.0,350.64935064935065,59.0,10.62,420.26935064935066,527,500-1000,500-1000,7.0,36.9,20.0,20.0,14.0,40.0,40.0,16.0,106.9,420.27,420.1,80.48000000000002,15.271347248576852,19.1496238961161,699.0,664.05
JOPLJPR4001-XXL,Tunics-Jpr,Apparel - Other products,Slow Moving,242.0,2330.0,29.0,0.0,0.0,0.0,11-Apr-24,Jaipur,23.0,314.28571428571433,59.0,10.62,383.90571428571434,473,300-500,250-500,5.0,23.63,20.0,20.0,13.0,30.0,40.0,12.0,88.63,383.91,384.37,72.75,15.380549682875264,18.94996539328853,499.0,475.0
JOPLJPR4026-M,Tunics-Jpr,Apparel - Other products,Platinum C,260.0,2330.0,6.0,0.0,0.0,0.0,21-Oct-24,Jaipur,23.0,337.6623376623377,59.0,10.62,407.2823376623377,497,300-500,250-500,5.0,24.86,20.0,20.0,13.0,30.0,40.0,12.0,89.86,407.28,407.14,77.51999999999998,15.597585513078469,19.033479439579544,499.0,475.0
JOPLVSRW4133-S,Rw Salwar Suit,Apparel - Ethnic Wear,Closed,272.0,2663.0,0.0,0.0,0.0,0.0,31-Jan-25,Surat,23.0,353.24675324675326,59.0,10.62,422.86675324675326,493,300-500,250-500,1.0,4.93,20.0,20.0,13.0,30.0,40.0,12.0,69.93,422.87,423.07,81.44999999999999,16.52129817444219,19.26138656553874,499.0,475.0
JOPLJPR511-XL,Kurta With Pant,Apparel - Ethnic Wear,Closed,250.0,3163.0,0.0,0.0,0.0,0.0,17-Jan-25,Surat,23.0,324.6753246753247,59.0,10.62,394.2953246753247,464,300-500,250-500,1.0,4.64,20.0,20.0,13.0,30.0,40.0,12.0,69.64,394.3,394.36,74.74000000000001,16.10775862068966,18.95533508076549,599.0,569.0
JOPLST219-XL,Skd-St,Apparel - Ethnic Wear,Closed,380.0,2663.0,0.0,0.0,0.0,0.0,17-Feb-24,Surat,23.0,493.50649350649354,59.0,10.62,563.1264935064936,703,500-1000,500-1000,10.0,70.35,20.0,20.0,14.0,40.0,40.0,16.0,140.35,563.13,562.65,113.02999999999997,16.078236130867708,20.07186685467083,630.0,599.0
JOPLVL310-M,Skd-Jpr,Apparel - Ethnic Wear,Platinum C,662.0,5330.0,60.0,8.0,0.0,0.0,23-Mar-23,Jaipur,23.0,859.7402597402597,59.0,10.62,929.3602597402597,1208,>1000,>1000,16.0,193.21,25.0,25.0,15.0,50.0,40.0,20.0,278.21,929.36,929.79,198.16999999999996,16.404801324503307,21.323270273616508,1367.0,1299.0
JOPLVL222-XXL,Skd-Jpr,Apparel - Ethnic Wear,Closed,855.0,5330.0,0.0,0.0,0.0,0.0,20-Jan-22,Jaipur,23.0,1110.3896103896104,59.0,10.62,1180.0096103896103,1506,>1000,>1000,16.0,240.95,25.0,25.0,15.0,50.0,40.0,20.0,325.95,1180.01,1180.05,255.43000000000006,16.960823373173977,21.64643387231934,999.0,949.0
JOPLLTRW2022-M,Rw Salwar Suit,Apparel - Ethnic Wear,Closed,315.0,2996.0,2.0,0.0,0.0,0.0,30-May-24,Surat,23.0,409.09090909090907,59.0,10.62,478.71090909090907,610,500-1000,500-1000,10.0,60.97,20.0,20.0,14.0,40.0,40.0,16.0,130.97,478.71,479.03,94.40999999999997,15.477049180327866,19.721714756676068,499.0,475.0
JOPLRJN10-M,Skd-Jpr,Apparel - Ethnic Wear,Slow Moving,760.0,5600.0,0.0,0.0,0.0,0.0,21-Jun-24,Jaipur,23.0,987.0129870129871,59.0,10.62,1056.632987012987,1359,>1000,>1000,16.0,217.45,25.0,25.0,15.0,50.0,40.0,20.0,302.45,1056.63,1056.55,226.92999999999995,16.698307579102277,21.476709774271956,1520.0,1444.0
JOPLJPR163-S,KURTA-JPR,Apparel - Ethnic Wear,New Listing,0.0,0.0,25.0,0.0,0.0,0.0,21-Apr-26,Jaipur,23.0,0.0,59.0,0.0,0.0,70,0-300,0-250,0.0,0.0,25.0,25.0,12.0,20.0,40.0,8.0,70.0,0.0,0.0,-59.0,-84.28571428571429,-inf,0.0,0.0
JOPLVSM5132,Dress Material,Apparel - Sarees and Dress Materials,Closed,215.0,1996.0,0.0,0.0,0.0,0.0,24-Mar-23,Surat,23.0,279.22077922077926,59.0,10.62,348.84077922077927,431,300-500,250-500,4.0,17.24,20.0,20.0,13.0,30.0,40.0,12.0,82.24,348.84,348.76,64.13999999999999,14.881670533642687,18.386611835712635,425.0,399.0
CS118BLUE0626-L,Pending,Apparel - Other products,Launch Phase,0.0,0.0,0.0,0.0,0.0,0.0,"",Pending,23.0,0.0,59.0,0.0,0.0,70,0-300,0-250,0.0,0.0,25.0,25.0,12.0,20.0,40.0,8.0,70.0,0.0,0.0,-59.0,-84.28571428571429,-inf,,
JOPLJPR836-XXL,Skd-Jpr,Apparel - Ethnic Wear,Closed,700.0,6650.0,0.0,0.0,3.0,0.0,14-Sep-23,Jaipur,23.0,909.0909090909091,59.0,10.62,978.7109090909091,1266,>1000,>1000,16.0,202.61,25.0,25.0,15.0,50.0,40.0,20.0,287.61,978.71,978.39,208.76999999999998,16.490521327014214,21.33112015619804,1299.0,1234.0
JOPLDI1068,Dress Material,Apparel - Sarees and Dress Materials,Slow Moving,210.0,1996.0,0.0,0.0,0.0,0.0,14-Sep-24,Surat,23.0,272.72727272727275,59.0,10.62,342.34727272727275,424,300-500,250-500,4.0,16.97,20.0,20.0,13.0,30.0,40.0,12.0,81.97,342.35,342.03,62.40999999999997,14.719339622641503,18.230026926406456,425.0,399.0
JOPLJPR4041-3XL,Tunics-Jpr,Apparel - Other products,Closed,240.0,2330.0,1.0,0.0,0.0,0.0,21-Jan-25,Jaipur,23.0,311.6883116883117,59.0,10.62,381.30831168831173,470,300-500,250-500,5.0,23.49,20.0,20.0,13.0,30.0,40.0,12.0,88.49,381.31,381.51,71.88999999999999,15.295744680851062,18.853509822981295,499.0,475.0
JOPLJPR764-XL,Cotton Top,Apparel - Other products,Closed,271.0,2330.0,4.0,0.0,0.0,0.0,2-Apr-25,Jaipur,23.0,351.94805194805195,59.0,10.62,421.56805194805196,552,500-1000,500-1000,11.0,60.76,20.0,20.0,14.0,40.0,40.0,16.0,130.76,421.57,421.24,80.62,14.605072463768117,19.123840060331343,499.0,475.0
