Master SKU,MRP,Cost,Wholesale Price,Catalog Name,Up Price,Launch Date
JOPLJPR158B-S,.,Pending,,,380,13-Apr-26
JOPLJPR158B-XL,.,Pending,,,380,13-Apr-26
JOPLJPR158B-XXL,.,Pending,,,380,13-Apr-26
JOPLJPR158C-L,.,Pending,,,380,13-Apr-26
JOPLJPR158C-M,.,Pending,,,380,13-Apr-26
JOPLJPR158C-S,.,Pending,,,380,13-Apr-26
JOPLJPR158C-XL,.,Pending,,,380,13-Apr-26
JOPLJPR158C-XXL,.,Pending,,,380,13-Apr-26
JOPLJPR159A-L,.,287,,,380,10-Mar-26
JOPLJPR159A-M,.,287,,,380,10-Mar-26
JOPLJPR159A-S,.,287,,,380,10-Mar-26
JOPLJPR159A-XL,.,287,,,380,10-Mar-26
JOPLJPR159A-XXL,.,287,,,380,10-Mar-26
JOPLJPR159B-L,.,288,,,380,10-Mar-26
JOPLJPR159B-M,.,288,,,380,10-Mar-26
JOPLJPR159B-S,.,288,,,380,10-Mar-26
JOPLJPR159B-XL,.,288,,,380,10-Mar-26
JOPLJPR159B-XXL,.,288,,,380,10-Mar-26
JOPLJPR159C-L,.,285,,,380,10-Mar-26
JOPLJPR159C-M,.,285,,,380,10-Mar-26
JOPLJPR159C-S,.,285,,,380,10-Mar-26
JOPLJPR159C-XL,.,285,,,380,10-Mar-26
JOPLJPR159C-XXL,.,285,,,380,10-Mar-26
JOPLJPR159D-L,.,284,,,380,10-Mar-26
JOPLJPR159D-M,.,284,,,380,10-Mar-26
JOPLJPR159D-S,.,284,,,380,10-Mar-26
JOPLJPR159D-XL,.,284,,,380,10-Mar-26
JOPLJPR159D-XXL,.,284,,,380,10-Mar-26
JOPLJPR159E-L,.,283,,,380,10-Mar-26
JOPLJPR159E-M,.,283,,,380,10-Mar-26
JOPLJPR159E-S,.,283,,,380,10-Mar-26
JOPLJPR159E-XL,.,283,,,380,10-Mar-26
JOPLJPR159E-XXL,.,283,,,380,10-Mar-26
JOPLJPR159F-L,.,288,,,380,10-Mar-26
JOPLJPR159F-M,.,288,,,380,10-Mar-26
JOPLJPR159F-S,.,288,,,380,10-Mar-26
JOPLJPR159F-XL,.,288,,,380,10-Mar-26
JOPLJPR159F-XXL,.,288,,,380,10-Mar-26
JOPLJPR159G-L,.,285,,,380,10-Mar-26
JOPLJPR159G-M,.,285,,,380,10-Mar-26
JOPLJPR159G-S,.,285,,,380,10-Mar-26
JOPLJPR159G-XL,.,285,,,380,10-Mar-26
JOPLJPR159G-XXL,.,285,,,380,10-Mar-26
JOPLJPR159H-L,.,290,,,380,10-Mar-26
JOPLJPR159H-M,.,290,,,380,10-Mar-26
JOPLJPR159H-S,.,290,,,380,10-Mar-26
JOPLJPR159H-XL,.,290,,,380,10-Mar-26
JOPLJPR159H-XXL,.,290,,,380,10-Mar-26
JOPLJPR160-L,.,Pending,,,,21-Apr-26
JOPLJPR160-M,.,Pending,,,,21-Apr-26
JOPLJPR160-S,.,Pending,,,,21-Apr-26
JOPLJPR160-XL,.,Pending,,,,21-Apr-26
JOPLJPR160-XXL,.,Pending,,,,21-Apr-26
JOPLJPR161-L,.,Pending,,,,21-Apr-26
JOPLJPR161-M,.,Pending,,,,21-Apr-26
JOPLJPR161-S,.,Pending,,,,21-Apr-26
JOPLJPR161-XL,.,Pending,,,,21-Apr-26
JOPLJPR161-XXL,.,Pending,,,,21-Apr-26
JOPLJPR162-L,.,Pending,,,,21-Apr-26
JOPLJPR162-M,.,Pending,,,,21-Apr-26
JOPLJPR162-S,.,Pending,,,,21-Apr-26
JOPLJPR162-XL,.,Pending,,,,21-Apr-26
JOPLJPR162-XXL,.,Pending,,,,21-Apr-26
JOPLJPR163-L,.,Pending,,,,21-Apr-26
JOPLJPR163-M,.,Pending,,,,21-Apr-26
JOPLJPR163-S,.,Pending,,,,21-Apr-26
JOPLJPR163-XL,.,Pending,,,,21-Apr-26
JOPLJPR163-XXL,.,Pending,,,,21-Apr-26
JOPLJPR164-L,.,Pending,,,,21-Apr-26
JOPLJPR164-M,.,Pending,,,,21-Apr-26
JOPLJPR164-S,.,Pending,,,,21-Apr-26
JOPLJPR164-XL,.,Pending,,,,21-Apr-26
JOPLJPR164-XXL,.,Pending,,,,21-Apr-26
JOPLJPR165-L,.,Pending,,,,21-Apr-26
JOPLJPR165-M,.,Pending,,,,21-Apr-26
JOPLJPR165-S,.,Pending,,,,21-Apr-26
JOPLJPR165-XL,.,Pending,,,,21-Apr-26
JOPLJPR165-XXL,.,Pending,,,,21-Apr-26
JOPLJPR166-L,.,Pending,,,,21-Apr-26
JOPLJPR166-M,.,Pending,,,,21-Apr-26
JOPLJPR166-S,.,Pending,,,,21-Apr-26
JOPLJPR166-XL,.,Pending,,,,21-Apr-26
JOPLJPR166-XXL,.,Pending,,,,21-Apr-26
JOPLJPR2005-L,2663,317,396,,550,11-Apr-24
JOPLJPR2005-M,2663,317,396,,550,11-Apr-24
JOPLJPR2005-S,2663,317,396,,550,11-Apr-24
JOPLJPR2005-XL,2663,317,396,,550,11-Apr-24
JOPLJPR2005-XS,2663,317,396,,550,11-Apr-24
JOPLJPR2005-XXL,2663,317,396,,550,11-Apr-24
JOPLJPR2006-L,2663,292,500,,550,11-Apr-24
JOPLJPR2006-M,2663,292,500,,550,11-Apr-24
JOPLJPR2006-S,2663,292,500,,550,11-Apr-24
JOPLJPR2006-XL,2663,292,500,,550,11-Apr-24
JOPLJPR2006-XS,2663,292,500,,550,11-Apr-24
JOPLJPR2006-XXL,2663,292,500,,550,11-Apr-24
JOPLJPR2007-L,2663,346,433,,550,11-Apr-24
JOPLJPR2007-M,2663,346,433,,550,11-Apr-24
JOPLJPR2007-S,2663,346,433,,550,11-Apr-24
JOPLJPR2007-XL,2663,346,433,,550,11-Apr-24
JOPLJPR2007-XS,2663,346,433,,550,11-Apr-24
JOPLJPR2007-XXL,2663,346,433,,550,11-Apr-24
JOPLJPR2008-L,2663,328,410,,550,11-Apr-24
JOPLJPR2008-M,2663,328,410,,550,11-Apr-24
JOPLJPR2008-S,2663,328,410,,550,11-Apr-24
JOPLJPR2008-XL,2663,328,410,,550,11-Apr-24
JOPLJPR2008-XS,2663,328,410,,550,11-Apr-24
JOPLJPR2008-XXL,2663,328,410,,550,11-Apr-24
JOPLJPR2009-L,2663,408,510,,550,11-Apr-24
JOPLJPR2009-M,2663,408,510,,550,11-Apr-24
JOPLJPR2009-S,2663,408,510,,550,11-Apr-24
JOPLJPR2009-XL,2663,408,510,,550,11-Apr-24
JOPLJPR2009-XS,2663,408,510,,550,11-Apr-24
JOPLJPR2009-XXL,2663,408,510,,550,11-Apr-24
JOPLJPR2011-3XL,2663,337,421,Alina,550,11-Jun-25
JOPLJPR2011-L,2663,337,421,Alina,550,11-Jun-25
JOPLJPR2011-M,2663,337,421,Alina,550,11-Jun-25
JOPLJPR2011-S,2663,337,421,Alina,550,11-Jun-25
JOPLJPR2011-XL,2663,337,421,Alina,550,11-Jun-25
JOPLJPR2011-XS,.,Pending,,,,11-Jun-25
JOPLJPR2011-XXL,2663,337,421,Alina,550,11-Jun-25
