uni,uni_stock,fba,fba_stock,fbf,fbf_stock,sjit,sjit_stock
JOPLCS104-XXL,7,JOPLVSRW5206-M,4,JOPLVSRW4093-XXL,3,JOPLST218-XL,73
JOPLCS105-XS,5,JOPLVSRW5202-5XL,19,JOPLVSRW4002-4XL,2,JOPLLTRW2017-L,7
JOPLCS106-XS,1,JOPLVSRW5202-4XL,35,JOPLJPR69C-3XL,2,JOPLVSMRW4277-XXL,1
JOPLCS107-L,23,JOPLVSRW5202-S,31,JOPLJPR68D-XXL,2,JOPLLTRW2016-M,6
JOPLCS107-M,28,JOPLVSRW5204-S,3,JOPLJPR68A-S,1,JOPLVSRW4082-XL,1
JOPLCS107-S,10,JOPLJPR44-M,77,JOPLJPR43-XL,3,JOPLLTRW2017-XL,37
JOPLCS107-XL,12,JOPLVSRW5206-S,1,JOPLJPR83-6XL,4,JOPLJPR783-XL,1
JOPLCS107-XS,22,JOPLVSRW5202-M,29,JOPLJPR69A-6XL,1,JOPLJPR43-M,35
JOPLCS107-XXL,30,JOPLST263-S,2,JOPLVSRW5213-S,0,JOPLVSRW4005-10XL,27
JOPLCS108-L,36,JOPLVSRW5206-4XL,1,JOPLJPR68A-3XL,1,JOPLLTRW2016-6XL,3
JOPLCS108-M,19,JOPLVSRW5206-XL,4,JOPLJPR794-L,4,JOPLJPR757-M,20
JOPLCS108-S,32,JOPLVSRW5202-3XL,25,JOPLJPR68D-S,0,JOPLVSRW5206-3XL,2
JOPLCS108-XL,32,JOPLVSRW5207-S,6,JOPLVSRW5215-3XL,3,JOPLVSRW4082-5XL,9
JOPLCS108-XS,36,JOPLVSMRW3988-9XL,4,JOPLJPR707-XL,0,JOPLJPR836-XXL,3
JOPLCS108-XXL,56,JOPLVSMRW4250-8XL,1,JOPLVSRW4093-L,1,JOPLJPR730-XS,3
JOPLCS109-L,23,JOPLVSRW4005-3XL,6,JOPLVSRW4093-XL,1,JOPLJPR85-M,1
JOPLCS109-M,16,JOPLLTRW2017-3XL,25,JOPLVSRW5204-S,3,JOPLVSRW4005-5XL,26
JOPLCS109-S,28,JOPLVSMRW5156-8XL,1,JOPLJPR515-XXL,5,JOPLJPR89-3XL,7
JOPLCS109-XL,10,JOPLLTRW2017-9XL,9,JOPLJPR747-S,2,JOPLJPR69B-XL,1
JOPLCS109-XS,21,JOPLLTRW2017-10XL,7,JOPLJPR69B-3XL,2,JOPLJPR353-L,1
JOPLCS109-XXL,26,JOPLVSRW4292-XXL,6,JOPLLTRW2016-M,0,JOPLVSMRW4276-XXL,1
JOPLCS110-L,9,JOPLVSMRW5156-4XL,2,JOPLVSRW4002-M,3,JOPLVSRW4031-6XL,6
JOPLCS110-M,3,JOPLLTRW2015-XXL,8,JOPLVSRW4114-5XL,4,JOPLVSRW4292-5XL,12
JOPLCS110-S,22,JOPLLTRW2017-6XL,11,JOPLVSRW5172-4XL,0,JOPLJPR713-L,16
JOPLCS110-XL,9,JOPLVSRW4005-10XL,2,JOPLVL218-XL,5,JOPLVL245-XXL,5
JOPLCS110-XS,18,JOPLVSRW4292-3XL,6,JOPLVSRW4114-L,1,JOPLVL218-XL,3
JOPLCS110-XXL,14,JOPLLTRW2015-6XL,1,JOPLVSRW4088-8XL,1,JOPLST269-L,1
JOPLCS111-L,27,JOPLLTRW2017-7XL,13,JOPLVSMRW5156-S,8,JOPLVSMRW4250-4XL,3
JOPLCS111-M,23,JOPLVSMRW3988-XXL,11,JOPLVSMRW5160-M,13,JOPLJPR10-L,5
JOPLCS111-S,45,JOPLLTRW2015-10XL,1,JOPLST218-S,1,JOPLJPR69B-M,26
JOPLCS111-XL,19,JOPLLTRW2017-XXL,16,JOPLST269-L,57,JOPLJPR311-L,1
JOPLCS111-XS,40,JOPLPDPRW1058-7XL,4,JOPLLTRW2018-5XL,0,JOPLJPR344-XS,1
JOPLCS111-XXL,28,JOPLVSRW4005-9XL,5,JOPLVSRW4031-6XL,1,JOPLJPR762-XL,6
JOPLCS112-L,23,JOPLVSRW4147-XXL,30,JOPLVSRW5213-4XL,3,JOPLVSRW4005-7XL,8
JOPLCS112-M,4,JOPLVSRW4005-6XL,5,JOPLVSRW5217-XL,6,JOPLVSRW4005-3XL,26
JOPLCS112-S,5,JOPLVSRW4147-10XL,6,JOPLVSRW4005-XXL,2,JOPLVSRW4005-L,4
JOPLCS112-XL,21,JOPLJPR308-XXL,1,JOPLVSRW5211-4XL,8,JOPLLTRW2007-M,2
JOPLCS112-XS,19,JOPLVSRW4114-3XL,17,JOPLVSRW5193-XXL,4,JOPLVSRW1013-9XL,2
JOPLCS112-XXL,29,JOPLPDPRW1006-XXL,8,JOPLVSM5111,7,JOPLPDPRW1058-XXL,56
JOPLCS113-L,35,JOPLLTRW2007-4XL,2,JOPLPDPRW1006-4XL,7,JOPLJPR818-3XL,1
JOPLCS113-S,44,JOPLVSRW4079-XXL,5,JOPLVSRW4292-XL,9,JOPLVSRW4292-10XL,2
JOPLCS113-XL,39,JOPLVSRW4114-XXL,8,JOPLJPR801X-5XL,3,JOPLJPR215-M,1
JOPLCS113-XS,37,JOPLVSRW4096-XXL,15,JOPLVSRW4097-XL,5,JOPLRJN17-S,3
JOPLCS113-XXL,30,Not Found,18,JOPLVSMRW4250-XXL,2,JOPLVL241-S,1
JOPLDI1015,1,JOPLVSMRW5160-XXL,6,JOPLVSRW4292-L,3,JOPLVSMRW4250-S,2
JOPLDI1017,4,JOPLVSRW4114-6XL,1,JOPLVSMRW5156-4XL,5,JOPLJPR713-XXL,2
JOPLDI1019,3,JOPLLTRW2016-6XL,1,JOPLVSRW4005-7XL,23,JOPLST237-S,1
JOPLDI1020,4,JOPLVL218-XXL,4,JOPLVSRW4093-4XL,1,JOPLJPR43-6XL,11
JOPLDI1021,120,JOPLVL213X-5XL,2,JOPLVSRW5217-3XL,0,JOPLJPR89-S,1
JOPLDI1022,56,JOPLVL281-XXL,1,JOPLLTRW2007-7XL,0,JOPLVSRW4088-5XL,2
JOPLDI1024,51,JOPLVL285-S,1,JOPLVSRW5215-XXL,0,JOPLVSRW4147-6XL,23
JOPLDI1025,40,JOPLVL213-5XL,6,JOPLVSRW5193-XL,1,JOPLLTRW2015-S,1
JOPLDI1026,14,JOPLVL310-XL,4,JOPLVSMRW5149-4XL,4,JOPLJPR43-4XL,48
JOPLDI1028,11,JOPLVL310-S,1,JOPLVSM4093,12,JOPLJPR868-M,1
JOPLDI1031,1,JOPLVL310-M,8,JOPLVSRW4005-6XL,1,JOPLVSRW5220-4XL,3
JOPLDI1032,76,JOPLVL310-L,4,JOPLVSM4071,1,JOPLST703-XL,4
JOPLDI1033,16,JOPLVL310-XXL,11,JOPLST218-6XL,0,JOPLJPR43-XXL,41
JOPLDI1036,1,JOPLVSM5112,11,JOPLLTRW2015-6XL,4,JOPLJPR716-S,14
JOPLDI1040,2,JOPLVL288-XXL,1,JOPLVSRW5206-L,1,JOPLLTRW2017-4XL,87
JOPLDI1045,70,JOPLVL212-XXL,5,JOPLJPR707-S,3,JOPLJPR818-L,1
JOPLDI1048,2,JOPLJPR69D-XXL,2,JOPLVSMRW5156-7XL,1,JOPLLTRW2007-3XL,10
JOPLDI1053,2,JOPLVL224-6XL,1,JOPLVSMRW4250-4XL,0,JOPLJPR515-M,1
JOPLDI1062,1,JOPLVL224-XXL,2,JOPLVSRW5193-S,1,JOPLRJN16-S,6
JOPLDI1063,1,JOPLJPR83-4XL,2,JOPLVSRW5217-XXL,8,JOPLJPR714-XXL,1
JOPLDI1064,2,JOPLJPR69A-3XL,1,JOPLVSMRW5149-L,0,JOPLST218-5XL,44
JOPLJPR02-M,1,JOPLVL245-XXL,1,JOPLST270-XXL,10,JOPLJPR311-XS,2
JOPLJPR09-S,12,JOPLJPR69A-6XL,2,JOPLLTRW2016-3XL,2,JOPLVSRW5204-4XL,3
JOPLJPR102-L,3,JOPLJPR68C-3XL,3,JOPLLTRW2017-5XL,16,JOPLLTRW2016-XXL,3
JOPLJPR102-XL,1,JOPLVL241A-5XL,5,JOPLVSRW4082-7XL,1,JOPLLTRW2017-6XL,58
JOPLJPR105-3XL,2,JOPLVSMRW3988-6XL,28,JOPLVSRW5202-S,3,JOPLJPR10-M,1
JOPLJPR105-M,1,JOPLJPR709-XXL,19,JOPLJPR707-M,0,JOPLJPR344-XXL,1
JOPLJPR105-XL,2,JOPLJPR706-L,6,JOPLVSRW5219-XL,0,JOPLST218-6XL,2
JOPLJPR107-S,2,JOPLJPR707-S,2,JOPLVSRW5202-L,0,JOPLLTRW2015-3XL,14
JOPLJPR108-L,1,JOPLJPR705-L,5,JOPLVSRW4097-XXL,1,JOPLRJN17-L,2
JOPLJPR108-S,4,JOPLJPR705-M,3,JOPLVSMRW5156-3XL,0,JOPLLTRW2015-L,3
JOPLJPR108-XL,8,JOPLJPR705-S,1,JOPLVSRW5216-XL,0,JOPLVSRW4286-6XL,3
JOPLJPR109-L,1,JOPLJPR705-XXL,10,JOPLLTRW2018-M,10,JOPLVL218-M,1
JOPLJPR109-M,2,JOPLVSMRW4250-XXL,3,JOPLVSRW5207-XL,0,JOPLVSMRW3988-4XL,5
JOPLJPR109-XL,3,JOPLVSMRW4250-4XL,1,JOPLST268-M,3,JOPLST240-XXL,1
JOPLJPR10-XL,1,JOPLVSMRW4250-S,3,JOPLLTRW2017-6XL,12,JOPLJPR742-XXL,16
JOPLJPR10-XXL,30,JOPLJPR711-S,4,JOPLVSMRW4281-4XL,4,JOPLRJN16-M,3
JOPLJPR111-3XL,1,JOPLJPR706-XL,50,JOPLVSRW5215-M,3,JOPLVSRW4292-3XL,7
JOPLJPR111-L,4,JOPLJPR708-XS,1,JOPLLTRW2007-4XL,1,JOPLST242-XXL,2
JOPLJPR111-M,1,JOPLJPR706-S,10,JOPLST269-XXL,37,JOPLJPR346-XL,1
JOPLJPR111-XL,1,JOPLJPR706-M,35,JOPLVSMRW4250-3XL,1,JOPLJPR740-L,4
JOPLJPR111-XXL,2,JOPLJPR707-XXL,5,JOPLLTRW2007-5XL,1,JOPLPDPRW1006-9XL,2
JOPLJPR112-S,2,JOPLJPR709-XS,1,JOPLST269-M,26,JOPLST240-M,2
JOPLJPR112-XXL,2,JOPLJPR711-XL,15,JOPLVSRW5212-S,8,JOPLVSMRW3988-XXL,3
JOPLJPR114-XXL,2,JOPLJPR707-L,2,JOPLLTRW2015-4XL,8,JOPLVL212-S,1
JOPLJPR118-XXL,2,JOPLJPR706-XXL,1,JOPLVSRW4002-3XL,3,JOPLJPR713-S,14
JOPLJPR124-3XL,6,JOPLJPR707-XL,2,JOPLST269-XL,13,JOPLST14-M,7
JOPLJPR132-S,1,JOPLJPR708-L,1,JOPLVSMRW4281-3XL,1,JOPLST14-XXL,4
JOPLJPR132-XL,3,JOPLJPR709-L,12,JOPLJPR794-XXL,2,JOPLJPR753-XS,4
