Master SKU,Style ID / Parent SKU,Size,Category,Loc,Child Remark,Parent Remark,Type
JOPLMSFRTW1509A-5XL,JOPLMSFRTW1509A,5XL,Rtw,Surat,Closed,Closed,Closed
JOPLVL202-4XL,JOPLVL202,4XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR4003-3XL,JOPLJPR4003,3XL,Tunics-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR7032-XXL,JOPLJPR7032,XXL,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR4046-3XL,JOPLJPR4046,3XL,Tunics-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW5190-5XL,JOPLVSRW5190,5XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLNS4043C,JOPLNS4043C,Free,Saree,Surat,Closed,Closed,Closed
JOPLJPR354-S,JOPLJPR354,S,"Dress 42 """,Jaipur,Closed,Closed,Closed
JOPLDI1074,JOPLDI1074,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLVL238-S,JOPLVL238,S,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW5218-9XL,JOPLVSRW5218,9XL,Rw Salwar Suit,Surat,Platinum C,Platinum B,Live
JOPLVSRW4292-3XL,JOPLVSRW4292,3XL,Rw Salwar Suit,Surat,Diamond B,Platinum A,Live
JOPLMD141D,JOPLMD141D,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLJPR112-5XL,JOPLJPR112,5XL,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLKS26-XXL,JOPLKS26,XXL,Kurta-St,Surat,Closed,Closed,Closed
JOPLJPR837-XL,JOPLJPR837,XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLST03-L,JOPLST03,L,Kurta-St,Surat,Closed,Closed,Closed
JOPLJPR112-XL,JOPLJPR112,XL,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSM5124,JOPLVSM5124,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLJPR4018-L,JOPLJPR4018,L,Tunics-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLST241-L,JOPLST241,L,Skd-St,Surat,Closed,Closed,Closed
JOPLJPR109-4XL,JOPLJPR109,4XL,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLST08-L,JOPLST08,L,Kurta-St,Surat,Closed,Closed,Closed
JOPLJPR810-4XL,JOPLJPR810,4XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
