Master SKU,Style ID / Parent SKU,Size,Category,Loc,Child Remark,Parent Remark,Type
JOPLJPR68B-4XL,JOPLJPR68B,4XL,Kurta-Jpr,Jaipur,Platinum A,Platinum B,Live
JOPLJPR2018-XL,JOPLJPR2018,XL,"Dress 46""",Jaipur,Closed,Closed,Closed
JOPLVSRW5177-L,JOPLVSRW5177,L,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR758-S,JOPLJPR758,S,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR69D-3XL,JOPLJPR69D,3XL,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW5209-XL,JOPLVSRW5209,XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLVL257-XXL,JOPLVL257,XXL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSMRW5149-L,JOPLVSMRW5149,L,Rw Salwar Suit,Surat,Closed,Closed,Closed
CS117BLACK0626-XL,CS117BLACK0626,XL,Pending,Pending,Launch Phase,Launch Phase,Live
JOPLJPR4018-XL,JOPLJPR4018,XL,Tunics-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR144-XXL,JOPLJPR144,XXL,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW4197-5XL,JOPLVSRW4197,5XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLVL305-6XL,JOPLVL305,6XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW5241-M,JOPLVSRW5241,M,RW Salwar suit,Surat,Launch Phase,Launch Phase,Live
JOPLJPR866-XXL,JOPLJPR866,XXL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR58-XL,JOPLJPR58,XL,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLST291-S,JOPLST291,S,Pending,Pending,Launch Phase,Launch Phase,Live
VRY102-XXL,VRY102,XXL,Kurta-Jpr,Surat,Closed,Closed,Closed
JOPLJPR69D-S,JOPLJPR69D,S,Kurta-Jpr,Jaipur,Closed,Closed,Closed
VRY04-M,VRY04,M,Kurta-Jpr,Surat,Closed,Closed,Closed
JOPLJPR847-M,SKU DELETED,M,Sku Deleted,Surat,Closed,Closed,Closed
JOPLJPR812-5XL,JOPLJPR812,5XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR310-XS,JOPLJPR310,XS,"Dress 36""",Jaipur,Platinum C,Platinum C,Live
JOPLJPR314-M,JOPLJPR314,M,"Dress 36""",Jaipur,Platinum C,Platinum C,Live
VRY101-M,VRY101,M,Kurta-Jpr,Surat,Closed,Closed,Closed
JOPLJPR162-XXL,JOPLJPR162,XXL,KURTA-JPR,Jaipur,New Listing,New Listing,Live
JOPLJPR7042-XL,JOPLJPR7042,XL,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLVSMRW4250-7XL,JOPLVSMRW4250,7XL,Rw Salwar Suit,Surat,Diamond B,Diamond A,Live
JOPLJPR341-XL,JOPLJPR341,XL,"Dress 36""",Jaipur,Slow Moving,Slow Moving,Live
JOPLST248-M,JOPLST248,M,Skd-St,Surat,Closed,Closed,Closed
JOPLVSM5154,JOPLVSM5154,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLJPR138-S,JOPLJPR138,S,"Dress 46""",Jaipur,Platinum C,Diamond C,Live
JOPLVL286-L,JOPLVL286,L,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR845-M,JOPLJPR845,M,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR4056-3XL,JOPLJPR4056,3XL,Tunics-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR744-XL,JOPLJPR744,XL,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLVSRW1167-XL,JOPLVSRW1167,XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
VRY04-5XL,VRY04,5XL,Kurta-Jpr,Surat,Closed,Closed,Closed
JOPLVSRW4093-5XL,JOPLVSRW4093,5XL,Rw Salwar Suit,Surat,Diamond C,Platinum A,Live
JOPLCS108-S,JOPLCS108,S,Cord Set,Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR707-S,JOPLJPR707,S,Cotton Top,Jaipur,Platinum B,Platinum C,Live
JOPLJPR214-XXL,JOPLJPR214,XXL,"Maternity Gown  48""",Jaipur,Slow Moving,Slow Moving,Live
CS116WINE0626-S,CS116WINE0626,S,Pending,Pending,Launch Phase,Launch Phase,Live
JOPLJPR7017-S,JOPLJPR7017,S,Cotton Top,Jaipur,Slow Moving,Slow Moving,Live
JOPLVSRW5193-XXL,JOPLVSRW5193,XXL,Rw Salwar Suit,Surat,Diamond A,Diamond C,Live
JOPLJPR2002-XS,JOPLJPR2002,XS,"Dress 46""",Jaipur,Closed,Closed,Closed
JOPLJPR736-M,JOPLJPR736,M,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR350-M,JOPLJPR350,M,"Dress 46""",Jaipur,Platinum C,Platinum C,Live
JOPLMSFRTW1515B-L,JOPLMSFRTW1515B,L,Rtw,Surat,Closed,Closed,Closed
JOPLJPR7035-L,JOPLJPR7035,L,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLVL215-L,JOPLVL215,L,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR744-XS,JOPLJPR744,XS,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR795-L,JOPLJPR795,L,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR4011-XL,JOPLJPR4011,XL,Tunics-Jpr,Jaipur,Slow Moving,Slow Moving,Live
BL6197WHITE0426-XXL,BL6197WHITE0426,XXL,Blouse,Surat,Launch Phase,Launch Phase,Live
JOPLVSRW4088-9XL,JOPLVSRW4088,9XL,Rw Salwar Suit,Surat,Slow Moving,Platinum C,Live
JOPLVL308-XXL,JOPLVL308,XXL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLPDP1092,JOPLPDP1092,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLST214-L,JOPLST214,L,Skd-St,Surat,Closed,Closed,Closed
JOPLVL214-3XL,JOPLVL214,3XL,Skd-Jpr,Jaipur,Platinum C,Slow Moving,Live
JOPLJPR150B-XL,JOPLJPR150B,XL,Kurta-Jpr,Jaipur,Platinum B,Platinum C,Live
JOPLJPR728-XL,JOPLJPR728,XL,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLVSMRW4277-XXL,JOPLVSMRW4277,XXL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR2007-XL,JOPLJPR2007,XL,"Dress 46""",Jaipur,Slow Moving,Slow Moving,Live
JOPLVSRW5239-S,JOPLVSRW5239,S,RW Salwar suit,Surat,Launch Phase,Launch Phase,Live
JOPLJPR106-S,JOPLJPR106,S,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR152C-XL,JOPLJPR152C,XL,Kurta-Jpr,Jaipur,Platinum B,Platinum C,Live
JOPLST290-XL,JOPLST290,XL,Pending,Pending,Launch Phase,Launch Phase,Live
JOPLVL280-L,JOPLVL280,L,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR745-L,JOPLJPR745,L,Cotton Top,Jaipur,Platinum C,Platinum C,Live
JOPLVL105-L,JOPLVL105,L,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLRJN10-XXL,JOPLRJN10,XXL,Skd-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR707-M,JOPLJPR707,M,Cotton Top,Jaipur,Platinum B,Platinum C,Live
JOPLJPR747-M,JOPLJPR747,M,Cotton Top,Jaipur,Platinum C,Platinum C,Live
JOPLJPR357-M,JOPLJPR357,M,"Dress 42 """,Jaipur,Closed,Closed,Closed
JOPLJPR511-L,JOPLJPR511,L,Kurta With Pant,Surat,Closed,Closed,Closed
JOPLJPR77-XL,JOPLJPR77,XL,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR820-L,JOPLJPR820,L,Skd-Jpr,Jaipur,Closed,Closed,Closed
VRY14-L,VRY14,L,Kurta-Jpr,Surat,Closed,Closed,Closed
JOPLVSM4113,JOPLVSM4113,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLJPR69A-6XL,JOPLJPR69A,6XL,Kurta-Jpr,Jaipur,Platinum C,Platinum C,Live
JOPLST704-S,JOPLST704,S,Tunics-St,Surat,Closed,Closed,Closed
JOPLMD152B,JOPLMD152B,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLJPR723-S,JOPLJPR723,S,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR7017-XS,JOPLJPR7017,XS,Cotton Top,Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR749-XL,JOPLJPR749,XL,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLVSRW4183-3XL,JOPLVSRW4183,3XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLLTRW2017-6XL,JOPLLTRW2017,6XL,Rw Salwar Suit,Surat,Diamond A,Diamond A,Live
JOPLJPR111-4XL,JOPLJPR111,4XL,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLMD102A,JOPLMD102A,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLVSRW4292-S,JOPLVSRW4292,S,Rw Salwar Suit,Surat,Slow Moving,Platinum A,Live
JOPLVSRW5208-XL,JOPLVSRW5208,XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR352-XL,JOPLJPR352,XL,"Dress 42 """,Jaipur,Slow Moving,Slow Moving,Live
JOPLVSMRW4132-5XL,JOPLVSMRW4132,5XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLVSRW4093-8XL,JOPLVSRW4093,8XL,Rw Salwar Suit,Surat,Platinum C,Platinum A,Live
JOPLVSM5172,JOPLVSM5172,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLVSRW5219-9XL,JOPLVSRW5219,9XL,Rw Salwar Suit,Surat,Platinum B,Platinum B,Live
JOPLJPR7038-L,JOPLJPR7038,L,Cotton Top,Jaipur,Slow Moving,Slow Moving,Live
BL6207RED0426-XL,BL6207RED0426,XL,Blouse,Surat,Launch Phase,Launch Phase,Live
JOPLVSRW4114-5XL,JOPLVSRW4114,5XL,Rw Salwar Suit,Surat,Diamond B,Diamond C,Live
JOPLJPR329-XL,JOPLJPR329,XL,"Dress 42 """,Jaipur,Closed,Closed,Closed
JOPLVSRW1163-S,JOPLVSRW1163,S,Rw Salwar Suit,Surat,Slow Moving,Slow Moving,Live
JOPLVL224-M,JOPLVL224,M,Skd-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR345-S,JOPLJPR345,S,"Dress 46""",Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR144-S,JOPLJPR144,S,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLST277-L,JOPLST277,L,Skd-St,Surat,Closed,Closed,Closed
JOPLST226-S,JOPLST226,S,Skd-St,Surat,Closed,Closed,Closed
JOPLJPR4027-M,JOPLJPR4027,M,Tunics-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLVSM10023,JOPLVSM10023,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLVSRW5224-XXL,JOPLVSRW5224,XXL,Rw Salwar Suit,Surat,Diamond B,Diamond C,Live
JOPLST286-3XL,JOPLST286,3XL,SKD-ST,Surat,New Listing,New Listing,Live
JOPLRJN02-XXL,JOPLRJN02,XXL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLMSFRTW1515I-6XL,JOPLMSFRTW1515I,6XL,Rtw,Surat,Closed,Closed,Closed
JOPLLTRW2018-6XL,JOPLLTRW2018,6XL,Rw Salwar Suit,Surat,Diamond C,Diamond C,Live
JOPLVSMRW5159-8XL,JOPLVSMRW5159,8XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLST714-M,JOPLST714,M,Tunics-St,Surat,Closed,Closed,Closed
JOPLDI1016,JOPLDI1016,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLVSRW5171-6XL,JOPLVSRW5171,6XL,Rw Salwar Suit,Surat,Platinum A,Platinum A,Live
JOPLJPR68A-5XL,JOPLJPR68A,5XL,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLVL296-S,JOPLVL296,S,Skd-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLPDP1008,JOPLPDP1008,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLST259-L,JOPLST259,L,Skd-St,Surat,Closed,Closed,Closed
JOPLVSRW5213-6XL,JOPLVSRW5213,6XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR69D-5XL,JOPLJPR69D,5XL,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW5220-S,JOPLVSRW5220,S,Rw Salwar Suit,Surat,Platinum C,Platinum B,Live
JOPLJPR145B-L,JOPLJPR145B,L,Kurta-Jpr,Jaipur,Platinum C,Platinum C,Live
JOPLJPR721-XXL,JOPLJPR721,XXL,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLRJN27-XXL,SKU DELETED,XXL,Sku Deleted,Surat,Closed,Closed,Closed
JOPLVSRW5205-7XL,JOPLVSRW5205,7XL,Rw Salwar Suit,Surat,Platinum B,Platinum C,Live
JOPLSRS1113C,JOPLSRS1113C,Free,Saree,Surat,Closed,Closed,Closed
JOPLVSRW5215-S,JOPLVSRW5215,S,Rw Salwar Suit,Surat,Slow Moving,Platinum C,Live
JOPLPDP1058,JOPLPDP1058,Free,Dress Material,Surat,Diamond A,Diamond A,Live
JOPLJPR707-XL,JOPLJPR707,XL,Cotton Top,Jaipur,Platinum B,Platinum C,Live
JOPLLTRW2018-S,JOPLLTRW2018,S,Rw Salwar Suit,Surat,Platinum C,Diamond C,Live
JOPLST738-XL,JOPLST738,XL,Tunics-St,Surat,Closed,Closed,Closed
JOPLVSM5155,JOPLVSM5155,Free,Dress Material,Surat,Closed,Closed,Closed
BL6213ROSEPINK0426-XXL,BL6213ROSEPINK0426,XXL,Blouse,Surat,Launch Phase,Launch Phase,Live
JOPLJPR707-XS,JOPLJPR707,XS,Cotton Top,Jaipur,Slow Moving,Platinum C,Live
JOPLJPR37-6XL,JOPLJPR37,6XL,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR310-XXL,JOPLJPR310,XXL,"Dress 36""",Jaipur,Slow Moving,Platinum C,Live
JOPLST216-S,JOPLST216,S,Skd-St,Surat,Closed,Closed,Closed
JOPLJPR806-L,JOPLJPR806,L,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR316-L,JOPLJPR316,L,"Dress 42 """,Jaipur,Closed,Closed,Closed
JOPLJPR777-XL,JOPLJPR777,XL,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLST278-L,JOPLST278,L,SKD-ST,Surat,New Listing,New Listing,Live
JOPLJPR706-XS,JOPLJPR706,XS,Cotton Top,Jaipur,Platinum B,Diamond C,Live
JOPLJPR508-L,JOPLJPR508,L,Kurta With Pant,Surat,Closed,Closed,Closed
JOPLST736-XL,JOPLST736,XL,Tunics-St,Surat,Closed,Closed,Closed
JOPLVSM5191,JOPLVSM5191,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLJPR355-M,JOPLJPR355,M,"Dress 42 """,Jaipur,Closed,Closed,Closed
JOPLVL278-XL,JOPLVL278,XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR787-XXL,JOPLJPR787,XXL,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR302-S,JOPLJPR302,S,"Dress 36""",Jaipur,Slow Moving,Slow Moving,Live
JOPLVSRW1163-M,JOPLVSRW1163,M,Rw Salwar Suit,Surat,Platinum C,Slow Moving,Live
JOPLVSRW5217-7XL,JOPLVSRW5217,7XL,Rw Salwar Suit,Surat,Platinum C,Platinum C,Live
JOPLJPR108-6XL,JOPLJPR108,6XL,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLVL281-4XL,JOPLVL281,4XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR301-XXL,JOPLJPR301,XXL,"Dress 36""",Jaipur,Slow Moving,Slow Moving,Live
JOPLVSRW4183-6XL,JOPLVSRW4183,6XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLVSRW5241-5XL,JOPLVSRW5241,5XL,RW Salwar suit,Surat,Launch Phase,Launch Phase,Live
JOPLVL255B-XXL,JOPLVL255B,XXL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLST264-XL,JOPLST264,XL,Skd-St,Surat,Closed,Closed,Closed
JOPLJPR7002-M,JOPLJPR7002,M,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR150B-S,JOPLJPR150B,S,Kurta-Jpr,Jaipur,New Listing,Platinum C,Live
JOPLST265-XL,JOPLST265,XL,Skd-St,Surat,Closed,Closed,Closed
JOPLJPR202-XXL,JOPLJPR202,XXL,"Maternity Gown  48""",Jaipur,Closed,Closed,Closed
JOPLJPR730-M,JOPLJPR730,M,Cotton Top,Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR758-XS,JOPLJPR758,XS,Cotton Top,Jaipur,Closed,Closed,Closed
ROLY10A-XL,ROLY10A,XL,Western Top,Surat,Closed,Closed,Closed
JOPLKS8003-S,JOPLKS8003,S,Kurta With Pant,Surat,Closed,Closed,Closed
JOPLJPR44-S,JOPLJPR44,S,Kurta-Jpr,Jaipur,Diamond C,Diamond B,Live
JOPLJPR335-S,JOPLJPR335,S,"Dress 42 """,Jaipur,Closed,Closed,Closed
JOPLJPR61-XXL,JOPLJPR61,XXL,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSMRW4236-M,JOPLVSMRW4236,M,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR157B-M,JOPLJPR157B,M,Kurta-Jpr,Jaipur,New Listing,New Listing,Live
ROLY08B-XS,ROLY08B,XS,Western Top,Surat,Closed,Closed,Closed
JOPLVSRW5172-10XL,JOPLVSRW5172,10XL,Rw Salwar Suit,Surat,Platinum C,Diamond B,Live
JOPLJPR521-XXL,JOPLJPR521,XXL,Kurta With Pant,Surat,Platinum C,Platinum C,Live
JOPLVSRW5211-7XL,JOPLVSRW5211,7XL,Rw Salwar Suit,Surat,Slow Moving,Platinum C,Live
JOPLVSMRW4283-XL,JOPLVSMRW4283,XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLVSMRW5156-3XL,JOPLVSMRW5156,3XL,Rw Salwar Suit,Surat,Diamond C,Platinum B,Live
JOPLJPR4011-L,JOPLJPR4011,L,Tunics-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLST259-XL,JOPLST259,XL,Skd-St,Surat,Closed,Closed,Closed
JOPLST281-XL,JOPLST281,XL,Pending,Pending,Launch Phase,Launch Phase,Live
JOPLJPR5007-S,JOPLJPR5007,S,Crop Top,Jaipur,Slow Moving,Slow Moving,Live
JOPLST235-XXL,JOPLST235,XXL,Skd-St,Surat,Closed,Closed,Closed
JOPLVL272-S,JOPLVL272,S,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR326-XS,JOPLJPR326,XS,"Dress 42 """,Jaipur,Closed,Closed,Closed
JOPLNB3047E,JOPLNB3047E,Free,Saree,Surat,Closed,Closed,Closed
JOPLJPR69C-3XL,JOPLJPR69C,3XL,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW5172-S,JOPLVSRW5172,S,Rw Salwar Suit,Surat,Platinum C,Diamond B,Live
JOPLJPR116-M,JOPLJPR116,M,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLLTRW2016-7XL,JOPLLTRW2016,7XL,Rw Salwar Suit,Surat,Platinum C,Platinum A,Live
JOPLST729-XXL,JOPLST729,XXL,Tunics-St,Surat,Closed,Closed,Closed
JOPLJPR744-S,JOPLJPR744,S,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLST236-L,JOPLST236,L,Skd-St,Surat,Closed,Closed,Closed
JOPLJPR2012-3XL,JOPLJPR2012,3XL,"Dress 46""",Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR322-M,JOPLJPR322,M,"Dress 42 """,Jaipur,Platinum B,Platinum C,Live
JOPLVSRW4286-3XL,JOPLVSRW4286,3XL,Rw Salwar Suit,Surat,Diamond C,Platinum B,Live
JOPLJPR7020-XL,JOPLJPR7020,XL,Cotton Top,Jaipur,Platinum C,Platinum C,Live
JOPLJPR859-XXL,SKU DELETED,XXL,Sku Deleted,Surat,Closed,Closed,Closed
JOPLVSRW5231-S,JOPLVSRW5231,S,RW Salwar suit,Surat,New Listing,New Listing,Live
BL6208GREEN0426-XXL,BL6208GREEN0426,XXL,Blouse,Surat,Launch Phase,Launch Phase,Live
JOPLVSRW5228-XXL,JOPLVSRW5228,XXL,RW Salwar suit,Surat,New Listing,New Listing,Live
JOPLJPR858-XXL,JOPLJPR858,XXL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW5178-7XL,JOPLVSRW5178,7XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLVSRW5178-L,JOPLVSRW5178,L,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR159B-S,JOPLJPR159B,S,Kurta-Jpr,Jaipur,Platinum C,Platinum C,Live
JOPLJPR102-S,JOPLJPR102,S,"Dress 46""",Jaipur,Closed,Closed,Closed
JOPLVSRW4114-6XL,JOPLVSRW4114,6XL,Rw Salwar Suit,Surat,Platinum A,Diamond C,Live
JOPLJPR142-S,JOPLJPR142,S,"Dress 46""",Jaipur,Closed,Closed,Closed
JOPLJPR16-M,JOPLJPR16,M,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLPDP9002,JOPLPDP9002,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLJPR332-XL,JOPLJPR332,XL,"Dress 42 """,Jaipur,Closed,Closed,Closed
JOPLST203-XL,JOPLST203,XL,Skd-St,Surat,Closed,Closed,Closed
VRY101-XL,VRY101,XL,Kurta-Jpr,Surat,Closed,Closed,Closed
JOPLJPR05-S,JOPLJPR05,S,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR2001-L,JOPLJPR2001,L,"Dress 46""",Jaipur,Closed,Closed,Closed
JOPLJPR4013-M,JOPLJPR4013,M,Tunics-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR78B-M,JOPLJPR78B,M,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR324-M,JOPLJPR324,M,"Dress 42 """,Jaipur,Closed,Closed,Closed
JOPLJPR4035-XXL,JOPLJPR4035,XXL,Tunics-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR508-XXL,JOPLJPR508,XXL,Kurta With Pant,Surat,Closed,Closed,Closed
JOPLJPR773-XXL,JOPLJPR773,XXL,Cotton Top,Jaipur,Slow Moving,Slow Moving,Live
JOPLLTRW2024-L,JOPLLTRW2024,L,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR2021-M,JOPLJPR2021,M,"Dress 46""",Jaipur,Closed,Closed,Closed
JOPLJPR159C-L,JOPLJPR159C,L,Kurta-Jpr,Jaipur,New Listing,New Listing,Live
JOPLST209-M,JOPLST209,M,Skd-St,Surat,Closed,Closed,Closed
JOPLVSMRW5159-3XL,JOPLVSMRW5159,3XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR713-XXL,JOPLJPR713,XXL,Cotton Top,Jaipur,Slow Moving,Slow Moving,Live
JOPLVSMRW3988-8XL,JOPLVSMRW3988,8XL,Rw Salwar Suit,Surat,Platinum B,Diamond B,Live
JOPLVSRW5204-XXL,JOPLVSRW5204,XXL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLST279-XXL,JOPLST279,XXL,SKD-ST,Surat,New Listing,New Listing,Live
JOPLVL212-5XL,JOPLVL212,5XL,Skd-Jpr,Jaipur,Platinum C,Diamond C,Live
VRY13-S,VRY13,S,Kurta-Jpr,Surat,Closed,Closed,Closed
JOPLJPR840-XL,JOPLJPR840,XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVL260A-M,JOPLVL260A,M,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR68C-5XL,JOPLJPR68C,5XL,Kurta-Jpr,Jaipur,Slow Moving,Platinum C,Live
JOPLVSM5196,JOPLVSM5196,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLST222-S,JOPLST222,S,Skd-St,Surat,Closed,Closed,Closed
JOPLJPR157A-S,JOPLJPR157A,S,Kurta-Jpr,Jaipur,New Listing,New Listing,Live
JOPLJPR7035-XXL,JOPLJPR7035,XXL,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR68A-S,JOPLJPR68A,S,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR521-L,JOPLJPR521,L,Kurta With Pant,Surat,Platinum C,Platinum C,Live
JOPLJPR156A-S,JOPLJPR156A,S,Kurta-Jpr,Jaipur,New Listing,New Listing,Live
JOPLJPR7005-S,JOPLJPR7005,S,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR159A-S,JOPLJPR159A,S,Kurta-Jpr,Jaipur,New Listing,Platinum C,Live
JOPLVSRW4079-4XL,JOPLVSRW4079,4XL,Rw Salwar Suit,Surat,Diamond C,Platinum A,Live
JOPLST722-XL,JOPLST722,XL,Tunics-St,Surat,Closed,Closed,Closed
JOPLJPR123-M,JOPLJPR123,M,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW5215-L,JOPLVSRW5215,L,Rw Salwar Suit,Surat,Platinum C,Platinum C,Live
JOPLST231-L,JOPLST231,L,Skd-St,Surat,Closed,Closed,Closed
JOPLST12-L,JOPLST12,L,Kurta-St,Surat,Closed,Closed,Closed
JOPLJPR776-XL,JOPLJPR776,XL,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR68D-6XL,JOPLJPR68D,6XL,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLST231-S,JOPLST231,S,Skd-St,Surat,Closed,Closed,Closed
JOPLVL260B-S,JOPLVL260B,S,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR105-M,JOPLJPR105,M,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW5238-3XL,JOPLVSRW5238,3XL,RW Salwar suit,Surat,Launch Phase,Launch Phase,Live
JOPLJPR7009-S,JOPLJPR7009,S,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR342-M,JOPLJPR342,M,"Dress 36""",Jaipur,Platinum C,Platinum C,Live
JOPLJPR777-XS,JOPLJPR777,XS,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR852-XL,JOPLJPR852,XL,Skd-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLVL263-3XL,JOPLVL263,3XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVL231-S,JOPLVL231,S,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLCS104-XS,JOPLCS104,XS,Cord Set,Jaipur,Closed,Closed,Closed
JOPLJPR4038-XXL,JOPLJPR4038,XXL,Tunics-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW5217-L,JOPLVSRW5217,L,Rw Salwar Suit,Surat,Slow Moving,Platinum C,Live
JOPLJPR2010-L,JOPLJPR2010,L,"Dress 46""",Jaipur,Closed,Closed,Closed
JOPLMSFRTW16011-6XL,JOPLMSFRTW16011,6XL,Rtw,Surat,Closed,Closed,Closed
JOPLJPR354-M,JOPLJPR354,M,"Dress 42 """,Jaipur,Closed,Closed,Closed
