uni,uni_stock,fba,fba_stock,fbf,fbf_stock,sjit,sjit_stock
ERT-LMFBC-BODYLOTION-100ML,5,JOPLJPR144-S,1,JOPLVSRW5172-XL,8,JOPLJPR742-M,26
ERT-LMFBC-BODYLOTION-200ML,5,JOPLJPR864-M,1,JOPLJPR10-XXL,3,JOPLST242-6XL,13
ERT-LMFBC-SHOWERGEL-100ML,5,JOPLJPR144-L,2,JOPLST218-3XL,0,JOPLLTRW2015-10XL,13
ERT-LMFBC-SHOWERGEL-200ML,5,JOPLJPR144-XXL,1,JOPLVSMRW5156-3XL,0,JOPLJPR342-XXL,2
ERT-SL-HAIRSERUM-50ML,5,JOPLVSRW4082-XXL,15,JOPLLTRW2007-3XL,0,JOPLST242-5XL,20
ERT-VAD-CONDITIONER-100ML,5,JOPLVSRW4097-XXL,2,JOPLVSRW5202-XL,0,JOPLVSRW4005-8XL,16
ERT-VAD-CONDITIONER-200ML,4,JOPLVSRW4097-3XL,12,JOPLLTRW2017-6XL,12,JOPLST11-XL,2
ERT-VAD-SHAMPOO-100ML,5,JOPLVSRW4082-8XL,1,JOPLJPR740-L,0,JOPLVSRW5220-L,1
ERT-VAD-SHAMPOO-200ML,5,JOPLVSRW4082-6XL,7,JOPLVSRW5172-L,3,JOPLRJN17-S,3
ERT-WBC-SHOWERGEL-100ML,5,JOPLVSRW5208-M,1,JOPLVSRW4005-6XL,2,JOPLJPR342-M,1
ERT-WBC-SHOWERGEL-200ML,5,JOPLST271-XXL,6,JOPLJPR794-M,0,JOPLLTRW2007-5XL,17
ERT-WBL-BODYLOTION-100ML,5,JOPLST270-L,12,JOPLPDPRW1006-XL,0,JOPLVSRW4114-5XL,1
ERT-WBL-BODYLOTION-200ML,5,JOPLVSRW5208-S,1,JOPLJPR794-S,1,JOPLVSRW4286-6XL,5
JOPLAI1001D,661,JOPLVSRW5208-3XL,2,JOPLJPR757-XL,0,JOPLST218-3XL,95
JOPLANG3010,171,JOPLVSRW5210-XXL,12,JOPLST268-S,0,JOPLJPR708-S,1
JOPLANG5010,10,JOPLST270-XL,5,JOPLVSRW5171-L,0,JOPLJPR713-XS,3
JOPLCS101-XS,1,JOPLVSRW5210-6XL,1,JOPLLTRW2017-5XL,22,JOPLJPR742-XL,33
JOPLCS102-L,1,JOPLVSRW5209-L,8,JOPLVSMRW4281-3XL,4,JOPLLTRW2018-M,1
JOPLCS102-XS,9,JOPLVSRW5210-M,1,JOPLST218-6XL,0,JOPLVSRW5163-5XL,1
JOPLCS104-L,1,JOPLVSRW5210-4XL,4,JOPLVSRW4114-XXL,6,JOPLJPR783-XS,1
JOPLCS104-M,1,JOPLVSRW5210-XL,3,JOPLVSRW4292-L,3,JOPLST269-XXL,1
JOPLCS104-S,1,JOPLST270-M,22,JOPLLTRW2016-M,0,JOPLJPR4030-XXL,2
